morpheme_es,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_es,type,tense,aspect,number,inactive,is_cognate,is_false_friend,,,,
.,.,.,,.,,,,,,,,,,,,,
la,,,,det,,F,def,,,,,,,,,,
el,the,,,det,,M,def,,,,,,,,,,
una,,,,det,,F,indef,,,,,,,,,,
un,a,,,det,,M,indef,,,,,,,,,,
él,he,,,pron,,M,subject,,,,,,,,,,
ella,she,,,pron,,F,subject,,,,,,,,,,
hombre,man,MAN,HUMAN,noun,M,M,,,,,,,,,,,
niño,boy,BOY,CHILD,noun,M,M,,,,,,,,,,,
padre,father,FATHER,PARENT,noun,M,M,,,,,,,,,,,
hermano,brother,BROTHER,SIBLING,noun,M,M,,,,,,,,,,,
abuelo,grandfather,GRANDFATHER,GRANDPARENT,noun,M,M,,,,,,,,,,,
hijo,son,SON,OFFSPRING,noun,M,M,,,,,,,,,,,
tío,uncle,UNCLE,UNCLES,noun,M,M,,,,,,,,,,,
anfitrión,host,HOST,HOST,noun,M,M,,,,,,,,,,,
camarero,waiter,WAITER,WAITER,noun,M,M,,,,,,,,,,,
perro,dog,DOG,DOG,noun,M,M,,,,,,,,,,,
mujer,woman,WOMAN,HUMAN,noun,F,F,,,,,,,,,,,
niña,girl,GIRL,CHILD,noun,F,F,,,,,,,,,,,
madre,mother,MOTHER,PARENT,noun,F,F,,,,,,,,,,,
hermana,sister,SISTER,SIBLING,noun,F,F,,,,,,,,,,,
abuela,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,,,,,,,,,,,
hija,daughter,DAUGHTER,OFFSPRING,noun,F,F,,,,,,,,,,,
tía,aunt,AUNT,UNCLES,noun,F,F,,,,,,,,,,,
anfitriona,hostess,HOSTESS,HOST,noun,F,F,,,,,,,,,,,
camarera,waitress,WAITRESS,WAITER,noun,F,F,,,,,,,,,,,
gata,cat,CAT,CAT,noun,F,F,,,,,,,,,,,
globo,balloon,BALLOON,BALLOON,noun,,M,,,,,,,,,,,
bolígrafo,pen,PEN,PEN,noun,,M,,,,,,,,,,,
juguete,toy,TOY,TOY,noun,,M,,,,,,,,,,,
pelota,ball,BALL,BALL,noun,,F,,,,,,,,,,,
llave,key,KEY,KEY,noun,,F,,,,,,,,,,,
cartera,wallet,WALLET,WALLET,noun,,F,,,,,,,,,,,
feliz,happy,HAPPY,HAPPY,adj,M-F,M-F,,,,,,,,,,,
triste,sad,SAD,SAD,adj,M-F,M-F,,,,,,,,,,,
alto,tall,TALL,TALL,adj,M,M,,,,,,,,,,,
alta,tall,TALL,TALL,adj,F,F,,,,,,,,,,,
pequeño,short,SHORT,SHORT,adj,M,M,,,,,,,,,,,
pequeña,short,SHORT,SHORT,adj,F,F,,,,,,,,,,,
a_,to,,,prep,,,to,,,,,,,,,,
está,is,BE,BE,verb,,,copular,present,,,,,,,,,
era,was,BE,BE,verb,,,copular,past,,,,,,,,,
tiene,has,HAS,HAS,verb,,,possession,present,,,,,,,,,
está,is,,,aux,,,auxiliary_verb,present,prog,singular,,,,,,,
ha,has,,,aux,,,auxiliary_verb,present,perfect,singular,,,,,,,
tenía,had,HAS,HAS,verb,,,possession,past,,,,,,,,,
está,is,BE,BE,verb_prefix,,,copular,present,,,,,,,,copular,present
era,was,BE,BE,verb_prefix,,,copular,past,,,,,,,,copular,past
tiene,has,HAS,HAS,verb_prefix,,,possession,present,,,,,,,,possession,present
tenía,had,HAS,HAS,verb_prefix,,,possession,past,,,,,,,,possession,past
nad,swim,SWIM,SWIM,verb_prefix,,,intrans,,,,,,,,,,
salt,jump,JUMP,JUMP,verb_prefix,,,intrans,,,,,,,,,,
camin,walk,WALK,WALK,verb_prefix,,,intrans,,,,,,,,,,
corr,run,RUN,RUN,verb_prefix,,,intrans,,,,,,,,,,
lleg,arriv,ARRIVE,ARRIVE,verb_prefix,,,intrans,,,,,,,,,,
estornud,sneez,SNEEZE,SNEEZE,verb_prefix,,,intrans,,,,,,,,,,
muer,die,DIE,DIE,verb_prefix,,,intrans,,,,,,,,,,
com,eat,EAT,EAT,verb_prefix,,,intrans,,,,,,,,,,
empuj,push,PUSH,PUSH,verb_prefix,,,trans,,,,,,,,,,
pate,kick,KICK,KICK,verb_prefix,,,trans,,,,,,,,,,
llev,carry,CARRY,CARRY,verb_prefix,,,trans,,,,,,,,,,
d,give,GIVE,GIVE,verb_prefix,,,double,,,,,,,,,,
tir,throw,THROW,THROW,verb_prefix,,,double,,,,,,,,,,
mostr,show,SHOW,SHOW,verb_prefix,,,double,,,,,,,,,,
nada,swims,SWIM,SWIM,verb,,,intrans,present,,3rd_singular,,,,,,,
salta,jumps,JUMP,JUMP,verb,,,intrans,present,,3rd_singular,,,,,,,
camina,walks,WALK,WALK,verb,,,intrans,present,,3rd_singular,,,,,,,
corre,runs,RUN,RUN,verb,,,intrans,present,,3rd_singular,,,,,,,
