morpheme_es,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_es,type,tense,aspect,number,is_cognate,is_false_friend,inactive,,,,
.,.,.,,.,,,,,,,,,,,,,
conductor,conductor,CONDUCTOR,CONDUCTOR,noun,M,M,,,,,Y,,,,,,
criminal,criminal,CRIMINAL,CRIMINAL,noun,F,F,,,,,Y,,Y,,,,
investigator,investigator,INVESTIGATOR,INVESTIGATOR,noun,M,M,,,,,Y,,,,,,
inspector,inspector,INSPECTOR,INSPECTOR,noun,M,M,,,,,Y,,Y,,,,
director,director,DIRECTOR,DIRECTOR,noun,F,F,,,,,Y,,Y,,,,
doctor,doctor,DOCTOR,DOCTOR,noun,F,F,,,,,Y,,Y,,,,
animal,animal,ANIMAL,ANIMAL,noun,M,M,,,,,Y,,Y,,,,
president,president,PRESIDENT,PRESIDENT,noun,F,F,,,,,Y,,,,,,
actor,actor,ACTOR,ACTOR,noun,M,M,,,,,Y,,,,,,
piano,piano,PIANO,PIANO,noun,,M,,,,,Y,,Y,,,,
melon,melon,MELON,MELON,noun,,M,,,,,Y,,Y,,,,
chocolate,chocolate,CHOCOLATE,CHOCOLATE,noun,,M,,,,,Y,,,,,,
radio,radio,RADIO,RADIO,noun,,F,,,,,Y,,,,,,
popular,popular,POPULAR,POPULAR,adj,M-F,M-F,,,,,Y,,,,,,
simple,simple,SIMPLE,SIMPLE,adj,,M-F,,,,,Y,,Y,,,,
superficial,superficial,SUPERFICIAL,SUPERFICIAL,adj,M-F,M-F,,,,,Y,,Y,,,,
vulnerable,vulnerable,VULNERABLE,VULNERABLE,adj,M-F,M-F,,,,,Y,,Y,,,,
terrible,terrible,TERRIBLE,TERRIBLE,adj,,M-F,,,,,Y,,Y,,,,
social,social,SOCIAL,SOCIAL,adj,M-F,M-F,,,,,Y,,,,,,
consider,consider,CONSIDERAR,CONSIDERAR,verb_prefix,,,intrans,,,,Y,,Y,,,,
comunic,comunic,COMUNICAR,COMUNICAR,verb_prefix,,,intrans,,,,Y,,Y,,,,
calm,calm,CALMAR,CALMAR,verb_prefix,,,intrans,,,,Y,,,,,,
adopt,adopt,ADOPTAR,ADOPTAR,verb_prefix,,,trans,,,,Y,,Y,,,,
consult,consult,CONSULTAR,CONSULTAR,verb_prefix,,,trans,,,,Y,,Y,,,,
abandon,abandon,ABANDONAR,ABANDONAR,verb_prefix,,,trans,,,,Y,,,,,,
justific,justific,JUSTIFICAR,JUSTIFICAR,verb_prefix,,,double,,,,Y,,Y,,,,
present,present,PRESENTAR,PRESENTAR,verb_prefix,,,double,,,,Y,,Y,,,,
demonstr,demonstr,DEMONSTRAR,DEMONSTRAR,verb_prefix,,,double,,,,Y,,,,,,
considera,considera,CONSIDERAR,CONSIDERAR,verb,,,intrans,present,,3rd_singular,Y,,Y,,,,
comunica,comunica,COMUNICAR,COMUNICAR,verb,,,intrans,present,,3rd_singular,Y,,Y,,,,
calma,calma,CALMAR,CALMAR,verb,,,intrans,present,,3rd_singular,Y,,,,,,
