message,pos_es,pos_en,full_verb_es,full_verb_en,percentage,inactive,comments
"AGENT=;AGENT-MOD=;ACTION=;E=PROG,AGT,PRESENT",det noun:animate adj:animate prep:with det noun:inanimate aux:singular:present verb:intrans gerund_suffix:ing,det adj:animate noun:animate prep:with det noun:inanimate aux:singular:present verb:intrans gerund_suffix:ing,det noun:animate adj:animate prep:with det noun:inanimate aux:singular:present verb:intrans:participle,det adj:animate noun:animate prep:with det noun:inanimate aux:singular:present verb:intrans:participle,,Y,with-structure
"AGENT=;AGENT-MOD=;ACTION=;E=PROG,AGT,PRESENT",det noun:animate adj:animate aux:singular:present verb:intrans gerund_suffix:ing,det adj:animate noun:animate aux:singular:present verb:intrans gerund_suffix:ing,det noun:animate adj:animate aux:singular:present verb:intrans:participle,det adj:animate noun:animate aux:singular:present verb:intrans:participle,,,
"AGENT=;ACTION=;E=PROG,AGT,PRESENT",det noun:animate aux:singular:present verb:intrans gerund_suffix:ing,det noun:animate aux:singular:present verb:intrans gerund_suffix:ing,det noun:animate aux:singular:present verb:intrans:participle,det noun:animate aux:singular:present verb:intrans:participle,,,no adj
"AGENT=PRON;ACTION=;E=PROG,AGT,PRESENT",pron aux:singular:present verb:intrans gerund_suffix:ing,pron aux:singular:present verb:intrans gerund_suffix:ing,pron aux:singular:present verb:intrans:participle,pron aux:singular:present verb:intrans:participle,,,pron
"AGENT=;AGENT-MOD=;ACTION=;E=SIMPLE,AGT,PRESENT",det noun:animate adj:animate verb:intrans verb_suffix::present,det adj:animate noun:animate verb:intrans verb_suffix::present,det noun:animate adj:animate verb:intrans:simple,det adj:animate noun:animate verb:intrans:simple,,,
"AGENT=;ACTION=;E=SIMPLE,AGT,PRESENT",det noun:animate verb:intrans verb_suffix::present,det noun:animate verb:intrans verb_suffix::present,det noun:animate verb:intrans:simple,det noun:animate verb:intrans:simple,,,no adj
"AGENT=PRON;ACTION=;E=SIMPLE,AGT,PRESENT",pron verb:intrans verb_suffix::present,pron verb:intrans verb_suffix::present,pron verb:intrans:simple,pron verb:intrans:simple,,,pron
"AGENT=;AGENT-MOD=;ACTION=;PATIENT=;E=PROG,AGT,PAT,PRESENT",det noun:animate adj:animate aux:singular:present verb:trans gerund_suffix:ing det noun,det adj:animate noun:animate aux:singular:present verb:trans gerund_suffix:ing det noun,det noun:animate adj:animate aux:singular:present verb:trans:participle det noun,det adj:animate noun:animate aux:singular:present verb:trans:participle det noun,,,
"AGENT=;ACTION=;PATIENT=;E=PROG,AGT,PAT,PRESENT",det noun:animate aux:singular:present verb:trans gerund_suffix:ing det noun,det noun:animate aux:singular:present verb:trans gerund_suffix:ing det noun,det noun:animate aux:singular:present verb:trans:participle det noun,det noun:animate aux:singular:present verb:trans:participle det noun,,,no adj
"AGENT=PRON;ACTION=;PATIENT=;E=PROG,AGT,PAT,PRESENT",pron aux:singular:present verb:trans gerund_suffix:ing det noun,pron aux:singular:present verb:trans gerund_suffix:ing det noun,pron aux:singular:present verb:trans:participle det noun,pron aux:singular:present verb:trans:participle det noun,,,pron
"AGENT=;AGENT-MOD=;ACTION=;PATIENT=;E=SIMPLE,AGT,PAT,PRESENT",det noun:animate adj:animate verb:trans verb_suffix::present det noun,det adj:animate noun:animate verb:trans verb_suffix::present det noun,det noun:animate adj:animate verb:trans:simple det noun,det adj:animate noun:animate verb:trans:simple det noun,,,
