message,es,percentage_es,en,percentage_en,comments
"AGENT=;AGENT-MOD=;AAL=;E=PRESENT,PROG",det noun:animate adj:animate aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,5.4,det adj:animate noun:animate aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,6.5,
"AGENT=;AAL=;E=PRESENT,PROG",det noun:animate aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,6.4,det noun:animate aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,7.5,no adj
"AGENT=pron;AAL=;E=PRESENT,PROG",pron aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,5.8,pron aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,7,pron
"AGENT=;AAL=;PATIENT=;E=PRESENT,PROG",det noun:animate aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,6.4,det noun:animate aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,7.5,no adj
"AGENT=pron;AAL=;PATIENT=;E=PRESENT,PROG",pron aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,5.8,pron aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,7,pron
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;E=PRESENT,PROG",det noun:animate adj:animate aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,5.4,det adj:animate noun:animate aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,6.5,
"AGENT=;AGENT-MOD=;AAL=;E=PRESENT,PERFECT",det noun:animate adj:animate aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,4,det adj:animate noun:animate aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,3,
"AGENT=;AAL=;E=PRESENT,PERFECT",det noun:animate aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,5.4,det noun:animate aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,3.7,
"AGENT=pron;AAL=;E=PRESENT,PERFECT",pron aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,4,pron aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,3.3,
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;E=PRESENT,PERFECT",det noun:animate adj:animate aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,4,det adj:animate noun:animate aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,3,
"AGENT=;AAL=;PATIENT=;E=PRESENT,PERFECT",det noun:animate aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,5.4,det noun:animate aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,3.7,
"AGENT=pron;AAL=;PATIENT=;E=PRESENT,PERFECT",pron aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,4,pron aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,3.3,
"AGENT=;AGENT-MOD=;AAL=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:intrans verb_suffix::present,2.4,det adj:animate noun:animate verb_prefix:intrans verb_suffix::present,2.4,simple_present_intransitive_adj
"AGENT=;AAL=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:intrans verb_suffix::present,2.4,det noun:animate verb_prefix:intrans verb_suffix::present,2.4,simple_present_intransitive
"AGENT=pron;AAL=;E=SIMPLE,PRESENT",pron verb_prefix:intrans verb_suffix::present,2.4,pron verb_prefix:intrans verb_suffix::present,2.4,simple_present_intransitive_pron
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:trans verb_suffix::present det noun:inanimate,2.4,det adj:animate noun:animate verb_prefix:trans verb_suffix::present det noun:inanimate,2.4,simple_present_transitive_adj
"AGENT=;AAL=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:trans verb_suffix::present det noun:inanimate,2.6,det noun:animate verb_prefix:trans verb_suffix::present det noun:inanimate,2.6,simple_present_transitive
"AGENT=pron;AAL=;PATIENT=;E=SIMPLE,PRESENT",pron verb_prefix:trans verb_suffix::present det noun:inanimate,2.4,pron verb_prefix:trans verb_suffix::present det noun:inanimate,2.4,simple_present_transitive_pron
"AGENT=;AAL=;ATTR=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:copular:present adj:animate,2.9,det noun:animate verb_prefix:copular:present adj:animate,2.9,be_attr_simple_present
