message,es,percentage_es,en,percentage_en
"AGENT=;AGENT-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,AGENT,AGENT-MOD",det noun:animate adj:animate aux::present:progressive:singular participle:intrans::progressive,2,det adj:animate noun:animate aux::present:progressive:singular participle:intrans::progressive,2
"AGENT=;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,AGENT",det noun:animate aux::present:progressive:singular participle:intrans::progressive,4,det noun:animate aux::present:progressive:singular participle:intrans::progressive,4
"AGENT=pron;ACTION-LINKING=;EVENT-SEM=PRESENT,PROGRESSIVE,AGENT",pron aux::present:progressive:singular participle:intrans::progressive,3.5,pron aux::present:progressive:singular participle:intrans::progressive,3.5
"AGENT=;ACTION-LINKING=;PATIENT=;EVENT-SEM=PRESENT,PROGRESSIVE,AGENT,PATIENT",det noun:animate aux::present:progressive:singular participle:trans::progressive det noun:inanimate,4,det noun:animate aux::present:progressive:singular participle:trans::progressive det noun:inanimate,4
"AGENT=pron;ACTION-LINKING=;PATIENT=;EVENT-SEM=PRESENT,PROGRESSIVE,AGENT,PATIENT",pron aux::present:progressive:singular participle:trans::progressive det noun:inanimate,3.5,pron aux::present:progressive:singular participle:trans::progressive det noun:inanimate,3.5
"AGENT=;AGENT-MOD=;ACTION-LINKING=;PATIENT=;EVENT-SEM=PRESENT,PROGRESSIVE,AGENT,AGENT-MOD,PATIENT",det noun:animate adj:animate aux::present:progressive:singular participle:trans::progressive det noun:inanimate,2,det adj:animate noun:animate aux::present:progressive:singular participle:trans::progressive det noun:inanimate,2
"AGENT=;AGENT-MOD=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,AGENT,AGENT-MOD",det noun:animate adj:animate aux::present:perfect:singular participle:intrans::perfect,2,det adj:animate noun:animate aux::present:perfect:singular participle:intrans::perfect,2
"AGENT=;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,AGENT",det noun:animate aux::present:perfect:singular participle:intrans::perfect,4,det noun:animate aux::present:perfect:singular participle:intrans::perfect,4
"AGENT=pron;ACTION-LINKING=;EVENT-SEM=PRESENT,PERFECT,AGENT",pron aux::present:perfect:singular participle:intrans::perfect,3.5,pron aux::present:perfect:singular participle:intrans::perfect,3.5
"AGENT=;AGENT-MOD=;ACTION-LINKING=;PATIENT=;EVENT-SEM=PRESENT,PERFECT,AGENT,AGENT-MOD,PATIENT",det noun:animate adj:animate aux::present:perfect:singular participle:trans::perfect det noun:inanimate,2,det adj:animate noun:animate aux::present:perfect:singular participle:trans::perfect det noun:inanimate,2
