morpheme_es,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_es,full_verb_3rd_en,full_verb_3rd_es,participle_en,participle_es,past_tense_en,past_tense_es,type,adj_es_female,is_cognate,is_false_friend,inactive
conductor,conductor,CONDUCTOR,CONDUCTOR,noun,M,M,,,,,,,,,Y,,
criminal,criminal,CRIMINAL,CRIMINAL,noun,F,F,,,,,,,,,Y,,Y
investigator,investigator,INVESTIGATOR,INVESTIGATOR,noun,M,M,,,,,,,,,Y,,
inspector,inspector,INSPECTOR,INSPECTOR,noun,M,M,,,,,,,,,Y,,Y
director,director,DIRECTOR,DIRECTOR,noun,F,F,,,,,,,,,Y,,Y
doctor,doctor,DOCTOR,DOCTOR,noun,F,F,,,,,,,,,Y,,Y
animal,animal,ANIMAL,ANIMAL,noun,M,M,,,,,,,,,Y,,Y
president,president,PRESIDENT,PRESIDENT,noun,F,F,,,,,,,,,Y,,
actor,actor,ACTOR,ACTOR,noun,M,M,,,,,,,,,Y,,
piano,piano,PIANO,PIANO,noun,,M,,,,,,,,,Y,,Y
melon,melon,MELON,MELON,noun,,M,,,,,,,,,Y,,Y
chocolate,chocolate,CHOCOLATE,CHOCOLATE,noun,,M,,,,,,,,,Y,,
radio,radio,RADIO,RADIO,noun,,F,,,,,,,,,Y,,
popular,popular,POPULAR,POPULAR,adj,M-F,M-F,,,,,,,,,Y,,
simple,simple,SIMPLE,SIMPLE,adj,,M-F,,,,,,,,,Y,,Y
superficial,superficial,SUPERFICIAL,SUPERFICIAL,adj,M-F,M-F,,,,,,,,,Y,,Y
vulnerable,vulnerable,VULNERABLE,VULNERABLE,adj,M-F,M-F,,,,,,,,,Y,,Y
terrible,terrible,TERRIBLE,TERRIBLE,adj,,M-F,,,,,,,,,Y,,Y
social,social,SOCIAL,SOCIAL,adj,M-F,M-F,,,,,,,,,Y,,
consider,consider,CONSIDERAR,CONSIDERAR,verb,,,,,,,,,intrans,,Y,,Y
considerar,considerar,CONSIDERAR,CONSIDERAR,verb_full,,,,,,,,,intrans::3rd,,Y,,Y
comunic,comunic,COMUNICAR,COMUNICAR,verb,,,,,,,,,intrans,,Y,,Y
comunicar,comunicar,COMUNICAR,COMUNICAR,verb_full,,,,,,,,,intrans::3rd,,Y,,Y
calm,calm,CALMAR,CALMAR,verb,,,,,,,,,intrans,,Y,,
calmar,calmar,CALMAR,CALMAR,verb_full,,,,,,,,,intrans::3rd,,Y,,
adopt,adopt,ADOPTAR,ADOPTAR,verb,,,,adoptar,,,,,trans,,Y,,Y
consult,consult,CONSULTAR,CONSULTAR,verb,,,,consultar,,,,,trans,,Y,,Y
abandon,abandon,ABANDONAR,ABANDONAR,verb,,,,abandonar,,,,,trans,,Y,,
justific,justific,JUSTIFICAR,JUSTIFICAR,verb,,,,justificar,,,,,double,,Y,,Y
present,present,PRESENTAR,PRESENTAR,verb,,,,presentar,,,,,double,,Y,,Y
demonstr,demonstr,DEMONSTRAR,DEMONSTRAR,verb,,,,demonstrar,,,,,double,,Y,,
,bombero,BOMBER,BOMBER,noun,M,M,,,,,,,,,,1,
bombero,,FIREFIGHTER,FIREFIGHTER,noun,M,M,,,,,,,,,,1,
,rapista,RAPIST,RAPIST,noun,M,M,,,,,,,,,,1,Y
rapista,,BARBER,BARBER,noun,M,M,,,,,,,,,,1,Y
,pariente,PARENT,PARENT,noun,M-F,M-F,,,,,,,,,,1,
pariente,,RELATIVE,RELATIVE,noun,M-F,M-F,,,,,,,,,,1,
,embarazada,EMBARASSED,EMBARASSED,adj,F,F,,,,,,,,,,1,
embarazada,,PREGNANT,PREGNANT,noun,F,F,,,,,,,,,,1,
,ropa,ROPE,ROPE,noun,,F,,,,,,,,,,1,
ropa,,CLOTHES,CLOTHES,noun,,F,,,,,,,,,,1,
,carpeta,CARPET,CARPET,noun,,F,,,,,,,,,,1,
carpeta,,FOLDER,FOLDER,noun,,F,,,,,,,,,,1,
,sopa,SOAP,SOAP,noun,,F,,,,,,,,,,1,
sopa,,SOUP,SOUP,noun,,F,,,,,,,,,,1,
,tuna,TUNA,TUNA,noun,,F,,,,,,,,,,1,
tuna,,PRICKLEY_PEAR,PRICKLEY_PEAR,noun,,F,,,,,,,,,,1,
,vaso,VASE,VASE,noun,,M,,,,,,,,,,1,
vaso,,DRINKING_GLASS,DRINKING_GLASS,noun,,M,,,,,,,,,,1,
,bizcocho,BISCUIT,BISCUIT,noun,,M,,,,,,,,,,1,
bizcocho,,CAKE,CAKE,noun,,M,,,,,,,,,,1,
,sano,SANE,SANE,adj,M-F,M-F,,,,,,,,,,1,
sano,,HEALTHY,HEALTHY,adj,M-F,M-F,,,,,,,,,,1,
,bizarro,BIZARRE,BIZARRE,adj,,M-F,,,,,,,,,,1,
bizarro,,BRAVE,BRAVE,adj,,M-F,,,,,,,,,,1,
,largo,LARGE,LARGE,adj,,M-F,,,,,,,,,,1,
largo,,LONG,LONG,adj,,M-F,,,,,,,,,,1,
,preocupado,PREOCUPPIED,PREOCUPPIED,adj,M-F,M-F,,,,,,,,,,1,
preocupado,,WORRIED,WORRIED,adj,M-F,M-F,,,,,,,,,,1,
,chocar,CHOKE,CHOKE,verb,,,,,,,,,trans,,,1,
chocar,,COLLIDE,COLLIDE,verb,,,,,,,,,trans,,,1,
,contestar,CONTEST,CONTEST,verb,,,,,,,,,intrans,,,1,
contestar,,ANSWER,ANSWER,verb,,,,,,,,,intrans,,,1,
,enviar,ENVY,ENVY,verb,,,,,,,,,double,,,1,
enviar,,SEND,SEND,verb,,,,,,,,,double,,,1,
,pretender,PRETEND,PRETEND,verb,,,,,,,,,intrans,,,1,
pretender,,ATTEMPT,ATTEMPT,verb,,,,,,,,,intrans,,,1,
,realizar,REALIZE,REALIZE,verb,,,,,,,,,trans,,,1,
realizar,,BECOME_TRUE,BECOME_TRUE,verb,,,,,,,,,trans,,,1,
,recordar,RECORD,RECORD,verb,,,,,,,,,intrans,,,1,
recordar,,REMEMBER,REMEMBER,verb,,,,,,,,,intrans,,,1,
,soportar,SUPPORT,SUPPORT,verb,,,,,,,,,trans,,,1,
soportar,,TOLERATE,TOLERATE,verb,,,,,,,,,trans,,,1,
la,,,,det,,F,,,,,,,def,,,,
el,the,,,det,,M,,,,,,,def,,,,
una,,,,det,,F,,,,,,,indef,,,,
un,a,,,det,,M,,,,,,,indef,,,,
él,he,,,pron,,,,,,,,,,,,,
ella,she,,,pron,,,,,,,,,,,,,
,it,,,pron,,,,,,,,,,,,,
hombre,man,MAN,HUMAN,noun,M,M,,,,,,,,,,,
